cabang,place_name,tanggal,ulasan,rating,sent_people,sent_physical_evidence,sent_place,sent_price,sent_process,sent_product,sent_promotion
1,Kopi Nako Cinere,3 bulan lalu,"Nice place to hang out.. pelayanannya oke, soal rasa ga perlu diragukan lagi.. lokasi gabung dgn bengkel, akses mudah dijangkau.. keep up the good works🙂",5,0,1,1,0,1,1,0
1,Kopi Nako Cinere,2 bulan lalu,"Tempatnya enak buat santai, di pinggir jalan. Parkiran luas",5,0,1,1,0,0,0,0
1,Kopi Nako Cinere,seminggu lalu,"Enak banget sih! Kopi Nako nggak pernah gagal bikin mood naik. Tempatnya cozy, vibes-nya asik buat nongkrong sama temen ataupun me-time. Minuman favoritku tentu Kopi Nako Susu — manisnya pas dan creamy. Worth it buat dikunjungi lagi dan lagi ✨",5,0,1,0,1,0,1,0
1,Kopi Nako Cinere,10 bulan lalu,"Kopi Nako yang bisa jadi tempat transit setelah pulang kerja, kalo lagi pengen banget bawa pulang kopi buat diminum besoknha, Crewnya ramah-ramah dan selalu memberi pelayanan yang ok dan baik

seperti biasa Kopi Nako setrong adalah menu wajib yang sellau saya pesan 😁👍 juara rasanya hehe

disini storenya kecil yaa, cuma lumayan bisa nampung banyak juga karena area out doornya tersedia cukup. tempat sangat nyaman dan juga bersih.

lokasi dekat dengan SPBU di karang tengah.",5,1,-1,1,0,0,1,0
1,Kopi Nako Cinere,setahun lalu,"Perlu diperhatikan kyknya karyawannya kurang deh? Pesen cireng+donat siram jam 14.15 baru keluar jam 14.48 lama yah say✌🏻🙂‍↔️ gak bilang mau take away tp pas dianter makanannya dlm bungkus take away atau emg gitu ya?
Untung enak nih makanan sm minumannya wkwk

Btw ac dibagian indoor ga berasa, panas bgt, pas baru masuk pun nyamuknya banyak🥱",2,0,-1,0,0,-1,1,0
1,Kopi Nako Cinere,setahun lalu,"Konsepnya mirip2 sama yg di tempat lain, klo ini lokasinya di pinggir jalan sebelah pom bensin klo ga salah liat. Tempatnya lumayan kecil, outdoornya klo siang menuju sore lebih adem dri pada indoornya. Tempat bersih, untuk plater nakonya lumayan, fries mereka ga asin, untuk minumnya aku beli lemon kocok karna waktu itu lagi panas panas panas banget, dan surpricingly enak agak mirip2 jamu yg asem gitu. Klo kalian di indoor jangan kaget klo mbak mbak atau mas mas nya teriak keras banget pas manggil pelanggan.",4,0,1,0,0,-1,0,0
1,Kopi Nako Cinere,2 bulan lalu,"Langganan kopi nako di sini. Kecewa sekali, bawa tumblr tapi ternyata tidak ditutup rapat. Tumpah semua di tas. Kemudian keluar pintu juga gak bisa, karena banyak motor motor parkir persis di jalan keluar pintu. Lain kali di atur ya kopi nako. Jangan ada motor yang menghalangi keluar masuk pintu restoran. Bagaimana pejalan kaki mau jalan keluar masuk kalau aksesnya untuk parkir motor. Gak bisa keluar dong kita. Dan kalau tumblr di cek pastikan sudah rapat. Jadi tidak tumpah.",1,0,0,-1,0,-1,0,0
1,Kopi Nako Cinere,4 bulan lalu,Selalu mampir kesni sebelum pergi kerja.. kopi nya enak bgt buat nemenin selama perjalanan nyetir..,5,0,0,0,0,0,1,0
1,Kopi Nako Cinere,2 tahun lalu,"Kopinya unik dan enak. Saya pesan Kopi Kaktus. Salah satu bahannya adalah agave. Rasanya kayak ditambah tequila cuman tanpa alkohol aja. Pelayanannya ramah banget. Hanya saja untuk tempatnya kurang nyaman.

Saya ambil yang indoor tapi nyamuknya tetap saja banyak dan ganas. Ya saran saya sih dikasih semacam obat nyamuk atau semacamnya lah biar customer lebih nyaman saja buat nongki-nongki agak lama di sana.",3,1,-1,0,0,0,1,0
1,Kopi Nako Cinere,2 bulan lalu,Enak bgt kopinyaaa!! Adain promo donggg :),5,0,0,0,0,0,1,0
