cabang_id,cabang_nama,sentimen,model,topic_id,doc_count,rank,keyword,c_tf_idf_score
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,1,layan,0.1022998454186584
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,2,baik,0.07508693262642137
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,3,pelayanannya,0.06570106604811869
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,4,layan baik,0.04745454576728465
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,5,cepat,0.04513700212975464
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,6,lokasi,0.04046130457306165
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,7,kakak,0.03901456993667267
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,8,makan,0.035030511651377036
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,9,minuman,0.02965909110455291
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,0,69,10,mbak,0.02962030954448862
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,1,kopinya,0.0697168129298196
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,2,rasa,0.04467283154856975
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,3,lagu,0.028864448375889227
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,4,kesini,0.02631223345058616
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,5,nongkrong,0.026100434805136404
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,6,teman,0.025345988550034025
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,7,susu,0.025345988550034025
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,8,suasana,0.023121792235893876
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,9,manisnya,0.023011821289477614
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,1,51,10,beda,0.023011821289477614
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,1,kopinya,0.22451177045196144
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,2,kopinya kopinya,0.12158375969503306
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,3,es,0.06142950733858246
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,4,es krim,0.05889508098863983
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,5,krim,0.05889508098863983
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,6,promo,0.054344301124303065
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,7,rasa,0.05274927567034507
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,8,rasa kopinya,0.04863350387801322
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,9,pagi,0.04660387111163142
1,Cinere,POS,Cabang 1 (Cinere) — POSITIF,2,44,10,pesan,0.04660387111163142
