cabang,place_name,tanggal,ulasan,rating,sent_people,sent_physical_evidence,sent_place,sent_price,sent_process,sent_product,sent_promotion
8,Kopi Nako Ciracas,2 bulan lalu,"Vibes nya kalo dari pagi sampe sore (jam rame) tenang bgttt, cocok sih kalo mau wfc atau ngobrol,musiknya ga terlalu keras jalanan pun ga terlalu bisinggg. Deket dari rumah jugaaa, musola bersih cuma kurang penerangan aja, toilet bersihh",5,0,-1,1,0,0,0,0
8,Kopi Nako Ciracas,10 bulan lalu,"Pagi pagi nyari tempat ngopi sambil ngerjain kerjaan atau ngerjain tugas cocok banget disini..
Untuk ambience nya bisa bikin konsen kalo lagi ga terlalu rame.
Pesen ice kopi susu nako, hot cappucino, pisang goreng sama mie goreng.. the coffee are good, pisang gorengnya juga pas buat dampingin kopi, but the mie goreng rasanya terlalu manis dan berminyak.. mungkin karena masih pagi jadi takaran masaknya belum set yg pas yaa 😅
Tapi overall this place is 👍
Ada room khusus juga kalau mau bikin private occasion, ada mushola dan toiletnya juga bersih.
Nice but improve the taste of your food supaya sebanding sama harganya yaa 👍",5,0,1,0,-1,0,-1,0
8,Kopi Nako Ciracas,sebulan lalu,"Enak kopinya, suasananya enak. Banyak tempat duduk, banyak menu kopi dan makanannya. Harga terjangkau, dekat dari rumah dan stasiun LRT ciracas",5,0,1,1,1,0,1,0
8,Kopi Nako Ciracas,9 bulan lalu,"Makanan 3/5
Nasi goreng nya ga banget rasanya, asin. Buat harga yang dibayarkan, ga sepadan porsi dan rasanya. Pisang gorengnya kecil, rasanya lumayan.

Minuman 5/5
Pesan kopi nako dan kalua coffee. Kopi nako nya enak, kalua coffee nya mantappppp. Kalua ini rasanya kayak rum. Tapi tetep dua2 nya manis bangetttt. Yang ga suka manis, perlu banget bilang less sweet.

Suasana 5/5
Suasana nya pagi nya nyaman, walopun di pinggir jalan, ga terlalu kerasa bising. Rimbun juga tempatnya. Tempatnya terbuka, kalo hujan, yaaa.. Pulang deh.

Fasilitas 4/5
Tempat parkir luas, toilet ada.

Pelayanan 4/5
Lebih ke self service sih, tapi petugas kasirnya friendly and helpful.

Nice place, nice coffee, not recommended during rainy weather",4,1,-1,-1,-1,0,0,0
8,Kopi Nako Ciracas,setahun lalu,"Bismillah

Ceritanya gi jengukin temen ke daerah Ciracas
Ya udah deh, sekalian aza cari tempat buat makan siang
Setelah tanya² mbah gugel & liat² di yutub, akhirnya kami memutuskan tuk makan di sini

➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖

🌸 Kelebihan :
🐝Lokasi di pinggir jalan (di lalui oleh Jaklingko)
🐝Tempat parkir cukup luas, muat sekitar 3 mobil & 20 (bahkan lebih) motor.
Kalo parkir motor hanya di 1 sisi, mungkin bisa parkir buat 4 atau 5 mobil
🐝ada area outdoor, semi outdoor (lantai 2) & indoor (lantai 1)
🐝terdapat mushola di lantai 2 dgn tempat wudhu nya. Mushola muat sekitar 4 orang (2 di depan & 2 di belakang)
🐝terdapat 2 toilet wanita & 1 toilet pria di lantai 1. Di bawah tangga
🐝terdapat 2 wastafel
🐝suasananya cozy bgt
🐝meskipun siang, gak terlalu panas kalo di area outdoor
🐝ada colokon buat charger hape / laptop
🐝terdapat kolam ikan & pepohonan. Sehingga kafe terasa sejuk & asri
🐝 tempatnya estetik buat nongkrong, fhoto² ataupun Working.
🐝pelayanan nya ramah bgt, full dgn senyum manis.
🐝penyajian makanan juga cepet
🐝harga nya standart kafe, cukup terjangkau buat tim mendang mending
🐝 Rasa makanan :
▪️Matcha Latte 5⭐
Matcha nya terasa bgt tapi gak bau matcha. Coz sgt seimbang dgn rasa susunya. Jadi terasa creamy yg bikin nagih
▪️es coklat 4⭐
Coklatnya di blender bersama es, mirip jus coklat 😅
▪️cireng goreng 4,5⭐
Cireng nya gurih & sambalnya rujak nya enak
▪️Mix plater 4,5 ⭐
Isinya lumayan banyak & rasanya enak. Terdapat sosis, kentang goreng, nugget & keripik bawang.
Kentang gorengnya gurih, di taburi dgn garam halus. Sosisnya enak. Kalo keripik barangnya, sedikit keras tapi masih ok.
▪️tahu bakso 2,5⭐
Tahunya agak keras & kurang oke rasanya. Sedangkan baksonya kurang berasa.

🌸Kekurangan :
🐝 Area indoor kurang terasa dinginnya. Karena peletakan AC kurang strategis sehingga tidak bisa menjangkau semua area.
Selain itu, ruangannya kecil tapi muat sekitar 20 orang. Kalo ada sekitar 15 orang, AC pasti gak terasa. Karena kemaren ada sekitar 12 orang, AC gak ada rasanya 😅
🐝toilet kurang bersih, tong sampah terbuka sehingga sampah terlihat. Plafon toilet rusak, sehingga terlihat bagian atasnya.
🐝Tempat wudhu terbuka. Sehingga gak aman & nyaman tuk para muslimah yg berjilbab.
🐝karena area Indoor sgt kecil & kurang dingin, bagi yg bawa anak harus prepare mainan. Coz kalo mreka main di luar, bisa terpapar dgn asap rokok
🐝 makanan banyak yg tidak tersedia (habis sebelum jam makan siang).
🐝 kurang variatif tuk menu makanan nya, terutama tuk menu utama nya.

Kalo sekedar nongki, minum oke, dll
Ini tempat yg oke bgt 🥰

Tapi kalo buat makan kenyang, ini kurang pas. 🤭

Kalo bawa anak, disini gak ada playground & gak tersedia mainan tuk anak. Area outdoor rawan bgt asap rokok. 🥲",4,1,-1,1,1,1,1,0
8,Kopi Nako Ciracas,10 bulan lalu,"Salah satu cabang Kopi Nako di Jakarta Timur yang cukup dekat dengan stasiun LRT Ciracas. Area duduknya banyak, tapi untuk area non-smoking hanya ada 4 meja di ruangan dekat kasir, dan AC-nya saat siang kurang terasa (agak panas). Tersedia tempat sholat di lantai 2 tetapi tidak besar (hanya cukup untuk 2 orang). Area duduk di outdoor cukup teduh dengan naungan pohon ketapang kencana. Tempat parkir memuat cukup banyak motor.",4,0,-1,1,0,0,0,0
8,Kopi Nako Ciracas,2 tahun lalu,"Overall enak, nyaman dan cozy. Tersedia musholla walaupun tidak besar. Kamar mandi juga bersih dan nyaman. Harga masih terjangkau dengan suasana yg cukup nyaman pda waktu itu sore hari setelah hujan. Juga tersedia wifi yang lumayan kencang.",4,0,-1,0,1,0,0,0
8,Kopi Nako Ciracas,setahun lalu,"Ngopi sore bareng keluarga. Datang ber10, ambil tempat indoor karena di luar gerimis. Servicenya bagus. Pegawainya ramah. Mba2nya juga langsung nawarin buat gabungin meja/kursi. Bikin kopinya juga cepat (secara kita ber10).",5,1,0,0,0,1,0,0
8,Kopi Nako Ciracas,3 bulan lalu,Tempat nya enak bingit buat nongkrong atau pertemuaan sama temen2,5,0,1,0,0,0,0,0
8,Kopi Nako Ciracas,3 tahun lalu,"Tempat asik buat nongkrong sambil ngopi2 cantik. Kopinya enak, hot chocolate nya agak kurang kuat rasa coklatnya...Mix flutternya isi kentang goreng, keripik nachos, dan chicken wings rasanya oke...Pas dateng ksini pada jam baru buka sih enak suasananya krn masih sepi...cuma biasanya klo sore disini rame bgt...Jd recommend sktr jam 10an di pagi hari klo mau dapet suasana enak dan sepi ya 😉",5,0,1,0,0,0,0,0
